iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
0,0,-20.981012658227847,nan,158,0,1562.4969180479948,nan,1.0,nan,-0.007960698533366794,-0.007960698533366794,1.007960698533367
1,1000000,-20.986301369863014,-20.448398576512457,146,281,1553.4840164864684,1157.9547205776369,0.2800009,-0.13084695847802935,-0.008110520392719967,-0.008110520392719967,1.0081105203927199
2,2000000,-21.0,-20.763333333333332,164,300,1560.2849645763147,1112.7053503416055,0.1,-0.39093374680698845,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
3,3000000,-20.305084745762713,-20.648936170212767,118,282,1557.754930145564,1107.7353635751929,0.1,-0.5415089700302669,0.011187400969894802,0.011187400969894802,0.9888125990301052
4,4000000,-21.0,-20.736059479553905,129,269,1567.6330754816026,1100.4813425391992,0.1,-0.9046602010611722,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
5,5000000,-18.283783783783782,-20.173708920187792,74,213,1544.4562396533279,1094.378963457598,0.1,-0.7137363043677877,0.06844805145088434,0.06844805145088434,0.9315519485491157
6,6000000,-19.060606060606062,-18.920529801324502,66,151,1539.6237904504162,1096.422732975531,0.1,-0.5848235111423915,0.04644175465705204,0.04644175465705204,0.953558245342948
7,7000000,-15.244444444444444,-17.384615384615383,45,117,1541.26090860257,1092.1856380936817,0.1,-0.5199734562060631,0.15454831602140387,0.15454831602140387,0.8454516839785962
8,8000000,-15.305555555555555,-14.576470588235294,36,85,1537.6025113237904,1093.603886323739,0.1,-0.44635503579610836,0.1528171230720806,0.1528171230720806,0.8471828769279194
9,9000000,-12.35483870967742,-13.884615384615385,31,78,1542.399444967268,1093.0926273258883,0.1,-0.23695128980774072,0.23640683541990312,0.23640683541990312,0.7635931645800969
10,10000000,-12.433333333333334,-13.77027027027027,30,74,1536.0238552751482,1092.1327057394165,0.1,-0.09163447729990568,0.23418319169027382,0.23418319169027382,0.7658168083097262
11,11000000,-13.580645161290322,-12.578125,31,64,1545.7483515504093,1087.597603679367,0.1,0.07940391878795067,0.20168144019007586,0.20168144019007586,0.7983185598099242
12,12000000,-12.966666666666667,-12.927536231884059,30,69,1546.55237944587,1089.692644254802,0.1,0.22767587606591647,0.2190745986779981,0.2190745986779981,0.7809254013220019
13,13000000,-9.615384615384615,-12.942028985507246,26,69,1544.821440163093,1089.3346394486439,0.1,0.3875975651167777,0.31401176726955765,0.31401176726955765,0.6859882327304423
14,14000000,-12.733333333333333,-12.0,30,63,1543.3931433461287,1094.8184931121352,0.1,0.4945803728712832,0.22568460812086877,0.22568460812086877,0.7743153918791312
15,15000000,-7.4,-10.938461538461539,25,65,1543.4631457882863,1092.918069331659,0.1,0.6189300282186976,0.37677053824362605,0.37677053824362605,0.623229461756374
16,16000000,-9.10344827586207,-10.428571428571429,29,63,1559.5116196318088,1094.9888006293793,0.1,0.6180787914513118,0.3285142131483833,0.3285142131483833,0.6714857868516166
17,17000000,-10.3125,-10.8125,32,64,1549.496287500698,1100.1351788998643,0.1,0.7705777496954526,0.2942634560906516,0.2942634560906516,0.7057365439093484
18,18000000,-7.1923076923076925,-9.633333333333333,26,60,1549.9815336984154,1103.9898060623118,0.1,0.7057707168044188,0.382654173022445,0.382654173022445,0.617345826977555
19,19000000,-6.571428571428571,-8.35593220338983,28,59,1563.0296813162752,1115.215099843275,0.1,0.8735912427321206,0.4002428166734116,0.4002428166734116,0.5997571833265885
20,20000000,-3.7037037037037037,-7.135593220338983,27,59,1557.4548695775827,1121.2661842071197,0.1,0.8631980227504422,0.4814814814814815,0.4814814814814815,0.5185185185185185
21,21000000,-5.666666666666667,-7.4375,30,64,1567.7312356879881,1123.7833760458607,0.1,0.8581471596126745,0.4258734655335222,0.4258734655335222,0.5741265344664779
22,22000000,-0.06896551724137931,-5.610169491525424,29,59,1563.8659184606593,1123.611374733693,0.1,0.908358135039025,0.5844485689166747,0.5844485689166747,0.41555143108332526
23,23000000,-4.344827586206897,-5.225806451612903,29,62,1563.676745257355,1120.7380868875682,0.1,0.9419581627547357,0.46331933183549867,0.46331933183549867,0.5366806681645013
24,24000000,1.1481481481481481,-4.11864406779661,27,59,1560.577533373794,1123.409033590792,0.1,1.0203050935976088,0.6189277095792677,0.6189277095792677,0.3810722904207323
