iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,train_state_value,normalized_return,capped_normalized_return,human_gap
0,0,-20.981012658227847,nan,158,0,1556.299004616327,nan,1.0,nan,-0.007960698533366794,-0.007960698533366794,1.007960698533367
1,1000000,-20.68354430379747,-20.341911764705884,158,272,1540.2879999425872,1151.819468673313,0.820000225,-0.14138793835584007,0.0004661670312331685,0.0004661670312331685,0.9995338329687669
2,2000000,-20.965986394557824,-20.324817518248175,147,274,1490.027481599381,1066.3946599666065,0.595000225,-0.2518341668031908,-0.0075350253415814306,-0.0075350253415814306,1.0075350253415813
3,3000000,-20.973684210526315,-20.381294964028775,152,278,1538.1937801103943,1063.3957195642042,0.37000022499999996,-0.47630765720642254,-0.0077530937826151775,-0.0077530937826151775,1.0077530937826151
4,4000000,-20.887096774193548,-20.571955719557195,124,271,1568.1274296421627,1078.8905553399904,0.14500022499999998,-0.638169305070883,-0.005300191903499965,-0.005300191903499965,1.0053001919035
5,5000000,-20.407894736842106,-20.421296296296298,76,216,1544.065250871124,1077.1128649045045,0.1,-0.7681070312998214,0.008274936633368077,0.008274936633368077,0.9917250633666319
6,6000000,-20.41269841269841,-20.013245033112582,63,151,1537.616125152532,1058.5309133284645,0.1,-0.7442791370069883,0.008138855164350938,0.008138855164350938,0.991861144835649
7,7000000,-18.235294117647058,-18.965217391304346,51,115,1519.4012221126027,1061.5880735887795,0.1,-0.713444326069012,0.06982169638393602,0.06982169638393602,0.930178303616064
8,8000000,-14.8,-17.8,40,100,1488.9977052026795,1056.4217347621473,0.1,-0.5930837409907117,0.16713881019830026,0.16713881019830026,0.8328611898016998
9,9000000,-16.0,-15.261363636363637,40,88,1533.6015796027446,1065.3635931415022,0.1,-0.41896910379034347,0.13314447592067988,0.13314447592067988,0.8668555240793201
10,10000000,-17.4,-16.138297872340427,50,94,1505.2193122508243,1058.9356721011504,0.1,-0.2796952195348744,0.09348441926345612,0.09348441926345612,0.9065155807365439
11,11000000,-17.264705882352942,-16.435294117647057,34,85,1552.2885945110256,1066.842457188902,0.1,-0.04993957745553535,0.09731711381436424,0.09731711381436424,0.9026828861856357
12,12000000,-15.384615384615385,-15.316455696202532,39,79,1535.2011896259992,1062.5907354324886,0.1,-0.13602853312288934,0.1505774678579211,0.1505774678579211,0.849422532142079
13,13000000,-13.485714285714286,-13.507042253521126,35,71,1554.2436002231116,1091.9576668423258,0.1,-0.009053154015922138,0.20437070012140834,0.20437070012140834,0.7956292998785917
14,14000000,-11.064516129032258,-12.75,31,76,1557.8108728118802,1093.9067470192106,0.1,0.22199505284969356,0.27295988303024765,0.27295988303024765,0.7270401169697523
15,15000000,-6.296296296296297,-12.22972972972973,27,74,1553.6295913724118,1101.2647688849634,0.1,0.15921226261252167,0.4080369321162522,0.4080369321162522,0.5919630678837478
16,16000000,-4.666666666666667,-9.3125,27,64,1580.7918173090034,1105.5866878093925,0.1,0.43811359259701915,0.4542020774315392,0.4542020774315392,0.5457979225684608
17,17000000,0.13793103448275862,-8.73134328358209,29,67,1576.3052305441345,1099.8316317484484,0.1,0.5040157867267245,0.5903096610335059,0.5903096610335059,0.4096903389664941
18,18000000,-2.5,-8.214285714285714,30,70,1605.6890755552522,1105.4941187226982,0.1,0.6057970721753807,0.5155807365439093,0.5155807365439093,0.48441926345609065
19,19000000,-9.08108108108108,-9.658227848101266,37,79,1513.965317270186,1087.8447087405561,0.1,0.6897241880609117,0.3291478447285813,0.3291478447285813,0.6708521552714187
20,20000000,-14.91304347826087,-7.5479452054794525,69,73,1609.4698294654015,1092.4355180116945,0.1,0.6454710548848304,0.1639364453750462,0.1639364453750462,0.8360635546249537
21,21000000,-2.9655172413793105,-7.808219178082192,29,73,1539.4449491864086,1060.1751960073616,0.1,0.7474103794052339,0.5023932792810394,0.5023932792810394,0.4976067207189606
22,22000000,0.9333333333333333,-6.125,30,72,1523.2584561351887,1109.301959796663,0.1,0.7599984202606263,0.6128423040604344,0.6128423040604344,0.3871576959395656
23,23000000,5.357142857142857,-1.0806451612903225,28,62,1564.4475677189014,1117.5010627920428,0.1,0.8285885559214738,0.7381626871711858,0.7381626871711858,0.2618373128288142
24,24000000,2.5714285714285716,1.596774193548387,28,62,1505.315693771087,1065.8467498851187,0.1,0.7730874452626292,0.6592472683124242,0.6592472683124242,0.3407527316875758
25,25000000,0.96875,0.9375,32,64,1514.778460759824,1065.1551808930217,0.1,0.9049726374957758,0.6138456090651558,0.6138456090651558,0.38615439093484416
26,26000000,6.172413793103448,5.1875,29,64,1538.5749196830873,1075.3347890408409,0.1,1.0390289380353672,0.7612581811077465,0.7612581811077465,0.23874181889225354
27,27000000,11.923076923076923,3.4,39,70,1509.2885704758892,1057.1044695373898,0.1,1.0408571496947732,0.9241664850730007,0.9241664850730007,0.0758335149269993
28,28000000,10.878048780487806,3.9864864864864864,41,74,1569.7784542013292,1109.1445246313374,0.1,1.1209189772033186,0.894562288399088,0.894562288399088,0.10543771160091198
29,29000000,8.886363636363637,2.5375,44,80,1574.3549518693594,1112.2892248559374,0.1,1.1909217040031421,0.8381406129281483,0.8381406129281483,0.16185938707185166
30,30000000,8.325581395348838,4.25,43,84,1547.2506605003482,1113.6147264998078,0.1,1.2332537968456592,0.82225443046314,0.82225443046314,0.17774556953686005
31,31000000,10.295454545454545,4.414634146341464,44,82,1566.3587021692574,1105.3471183573704,0.1,1.3972336159805592,0.8780582024208087,0.8780582024208087,0.12194179757919132
32,32000000,5.421052631578948,2.8823529411764706,38,85,1572.8560330840664,1100.9156475195946,0.1,1.2149392247082254,0.7399731623676756,0.7399731623676756,0.26002683763232437
33,33000000,7.714285714285714,5.819277108433735,42,83,1555.45049553227,1079.1462014080632,0.1,1.3782217111294723,0.8049372723593687,0.8049372723593687,0.19506272764063126
34,34000000,5.55,4.083333333333333,40,84,1573.1565135878334,1102.83769726528,0.1,1.536014627405044,0.7436260623229463,0.7436260623229463,0.25637393767705374
35,35000000,11.148936170212766,4.9186046511627906,47,86,1568.3632550211767,1107.708180765533,0.1,1.3319160808917785,0.9022361521306733,0.9022361521306733,0.09776384786932668
36,36000000,12.875,5.525,48,80,1562.1423979792694,1102.925416150793,0.1,1.441159698439544,0.9511331444759208,0.9511331444759208,0.04886685552407921
37,37000000,12.186046511627907,6.227848101265823,43,79,1569.6623043377183,1091.2999279383032,0.1,1.4585672902204763,0.9316160484880428,0.9316160484880428,0.0683839515119572
38,38000000,11.404761904761905,5.9875,42,80,1518.1978700913105,1079.4585594304158,0.1,1.5567792628895645,0.9094833400782409,0.9094833400782409,0.09051665992175906
39,39000000,9.08108108108108,5.037974683544304,37,79,1573.3091977088563,1103.376434638536,0.1,1.5148751330864993,0.8436566878493225,0.8436566878493225,0.15634331215067754
40,40000000,7.783783783783784,1.3580246913580247,37,81,1566.9977278046547,1102.1426668024078,0.1,1.4783736632914544,0.8069060561978411,0.8069060561978411,0.19309394380215894
